epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,11856.4,1.08011,1.19013,1.41309,0.47352,0.4238,0.45705,0.28547,1.36077,1.48813,1.98842,0.000402312,0.000402312,0.000402312
139,11942.1,0.9961,1.11049,1.34112,0.40483,0.59564,0.46699,0.29618,1.33304,1.45503,1.97927,0.000396125,0.000396125,0.000396125
140,12134.4,1.00243,1.08802,1.33503,0.52587,0.51578,0.52895,0.31405,1.30995,1.46546,1.91329,0.000389938,0.000389938,0.000389938
141,12201,1.04292,1.12658,1.36204,0.55266,0.48635,0.49199,0.32083,1.29988,1.35474,1.88432,0.00038375,0.00038375,0.00038375
142,12268.3,1.04034,1.18767,1.36855,0.7461,0.43587,0.54519,0.32171,1.3033,1.30479,1.84318,0.000377563,0.000377563,0.000377563
143,12512.4,1.01661,1.11994,1.37566,0.68423,0.48589,0.55395,0.31593,1.30003,1.307,1.81975,0.000371375,0.000371375,0.000371375
144,12560.7,1.02651,1.14506,1.36337,0.58564,0.52313,0.50051,0.29803,1.36024,1.38418,1.87529,0.000365188,0.000365188,0.000365188
145,12626,0.97011,1.02001,1.28809,0.64679,0.55394,0.57573,0.33834,1.31386,1.29815,1.82581,0.000359,0.000359,0.000359
146,12734.4,0.95533,1.0804,1.29501,0.57639,0.54603,0.55787,0.32579,1.31488,1.29456,1.80176,0.000352812,0.000352812,0.000352812
147,12789.8,1.0408,1.11214,1.3533,0.46372,0.56208,0.48033,0.29125,1.35094,1.36587,1.86919,0.000346625,0.000346625,0.000346625
148,12844.8,0.96988,1.08298,1.3007,0.6725,0.48486,0.56231,0.30214,1.35241,1.33961,1.87868,0.000340438,0.000340438,0.000340438
149,12917.3,0.98809,1.05394,1.30568,0.67531,0.50098,0.55694,0.29347,1.36469,1.38894,1.85145,0.00033425,0.00033425,0.00033425
150,13034.1,0.94958,1.06588,1.34372,0.54959,0.53385,0.55356,0.28249,1.45639,1.63789,2.0236,0.000328063,0.000328063,0.000328063
151,13087.4,1.01959,1.08002,1.34883,0.56407,0.54422,0.53909,0.31194,1.40217,1.4958,1.98207,0.000321875,0.000321875,0.000321875
152,13156.2,1.02054,1.01709,1.30095,0.66692,0.51626,0.52242,0.30968,1.36888,1.51875,1.95431,0.000315687,0.000315687,0.000315687
153,13427,0.9623,1.02317,1.29774,0.6169,0.51167,0.52294,0.30499,1.3977,1.57117,1.97633,0.0003095,0.0003095,0.0003095
154,13479.6,0.99112,1.05798,1.31862,0.54887,0.55652,0.51399,0.28019,1.40229,1.67714,2.00465,0.000303313,0.000303313,0.000303313
155,13667.4,0.97377,1.0642,1.31542,0.51223,0.50325,0.52237,0.28509,1.40714,1.6738,1.98427,0.000297125,0.000297125,0.000297125
156,13964.3,0.93845,1.01944,1.28227,0.65195,0.4816,0.53149,0.3217,1.33875,1.30658,1.86288,0.000290937,0.000290937,0.000290937
157,14035.2,0.96066,1.06908,1.31927,0.54167,0.50431,0.53258,0.31936,1.33281,1.24503,1.85714,0.00028475,0.00028475,0.00028475
158,14102.7,0.941,1.00813,1.32871,0.49003,0.49555,0.50726,0.29203,1.38907,1.34721,1.91838,0.000278562,0.000278562,0.000278562
159,14260.4,0.95608,1.07744,1.31652,0.59097,0.47576,0.52886,0.30559,1.41571,1.31759,1.93599,0.000272375,0.000272375,0.000272375
160,14326.6,0.95598,1.08168,1.32127,0.62233,0.48723,0.49972,0.32268,1.26339,1.29462,1.84898,0.000266187,0.000266187,0.000266187
161,14395.4,0.96099,1.04903,1.3142,0.58379,0.4564,0.49805,0.33275,1.24611,1.36049,1.84459,0.00026,0.00026,0.00026
162,14502.2,0.98905,1.06115,1.34022,0.63625,0.46684,0.50083,0.32458,1.28634,1.41628,1.86942,0.000253812,0.000253812,0.000253812
163,14565.7,0.93621,1.02554,1.29662,0.54944,0.48751,0.496,0.28712,1.43484,1.35539,2.01718,0.000247625,0.000247625,0.000247625
164,14633.8,0.93422,0.98097,1.28148,0.59656,0.49057,0.51249,0.3016,1.38981,1.31619,1.97144,0.000241438,0.000241438,0.000241438
165,14894.5,0.85458,0.93762,1.2195,0.63654,0.49847,0.51233,0.30411,1.30403,1.27537,1.88569,0.00023525,0.00023525,0.00023525
166,14968.6,0.87627,0.91069,1.21606,0.60913,0.46959,0.47777,0.29036,1.28946,1.33611,1.85759,0.000229063,0.000229063,0.000229063
167,15048.9,0.91197,0.96388,1.26216,0.53646,0.4589,0.44147,0.2732,1.31019,1.37512,1.89029,0.000222875,0.000222875,0.000222875
168,15335.1,0.94035,1.00224,1.28467,0.54254,0.49083,0.45997,0.29383,1.3119,1.36841,1.88492,0.000216688,0.000216688,0.000216688
169,15404.6,0.89867,0.95186,1.26064,0.62697,0.47684,0.48868,0.30281,1.35753,1.38423,1.92149,0.0002105,0.0002105,0.0002105
170,15476.1,0.93109,0.98956,1.28717,0.59063,0.50961,0.51078,0.32705,1.39069,1.4005,1.98346,0.000204313,0.000204313,0.000204313
171,15671.6,0.84079,0.93454,1.2088,0.59263,0.49775,0.53826,0.34477,1.32116,1.32992,1.90028,0.000198125,0.000198125,0.000198125
